#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 01 00 26 999 99.0 99.0  2.04 14.29  8.34 262 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 00 56 999 99.0 99.0  2.06 16.67  8.69 283 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 01 26 999 99.0 99.0  1.91 11.76  7.85 288 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 01 56 999 99.0 99.0  2.00 15.38  8.33 275 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 02 26 999 99.0 99.0  1.76 15.38  7.19 290 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 02 56 999 99.0 99.0  2.10 15.38  7.96 292 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 03 26 999 99.0 99.0  2.09 11.11  7.15 283 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 03 56 999 99.0 99.0  2.27 10.53  7.24 299 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 04 26 999 99.0 99.0  2.33 11.76  7.38 292 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 04 56 999 99.0 99.0  2.27 15.38  7.04 290 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 26 999 99.0 99.0  2.55 11.76  6.90 288 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 05 56 999 99.0 99.0  2.72 13.33  6.96 274 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 26 999 99.0 99.0  2.62 11.76  6.85 299 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 06 56 999 99.0 99.0  2.74 14.29  6.83 282 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 07 26 999 99.0 99.0  2.90 14.29  7.02 299 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 07 56 999 99.0 99.0  3.31 14.29  7.45 283 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 08 26 999 99.0 99.0  3.17 14.29  7.03 283 9999.0 999.0  15.9 999.0 99.0 99.00
2023 01 01 08 56 999 99.0 99.0  3.19 14.29  6.71 299 9999.0 999.0  15.8 999.0 99.0 99.00
2023 01 01 09 26 999 99.0 99.0  3.52 14.29  7.30 293 9999.0 999.0  15.8 999.0 99.0 99.00
